Concentration,Gender,International,Unknown,Hispanic,Native_American,Asian,Black,Pacific_Islander,White,Other
Applied Mathematics (A.B.),Men,39,7,17,0,41,8,0,78,6,
Applied Mathematics (A.B.),Women,25,0,12,0,39,6,0,33,9,
Biomedical Engineering (A.B.),Men,2,0,2,0,4,1,0,5,0,
Biomedical Engineering (A.B.),Women,4,0,3,0,6,2,0,6,1,
Computer Science (A.B.),Men,70,5,20,1,93,10,1,107,22,
Computer Science (A.B.),Women,24,3,14,0,57,7,0,32,9,
Electrical Engineering (S.B.),Men,11,1,1,0,5,4,0,5,5,
Electrical Engineering (S.B.),Women,0,0,1,0,5,0,0,6,1,
Engineering Sciences (A.B.),Men,1,0,0,0,0,0,0,1,0,
Engineering Sciences (A.B.),Women,0,0,0,0,2,0,0,1,0,
Engineering Sciences (S.B.),Men,0,0,0,0,1,2,0,5,1,
Engineering Sciences (S.B.),Women,2,0,2,0,1,1,0,6,2,
Engineering Sciences - Bioengineering (S.B.),Men,6,0,1,0,3,5,0,7,1,
Engineering Sciences - Bioengineering (S.B.),Women,2,0,3,0,5,3,0,7,2,
Engineering Sciences - Biomedical Sciences and Engineering (A.B.),Men,0,0,0,0,0,1,0,1,0,
Engineering Sciences - Biomedical Sciences and Engineering (A.B.),Women,0,0,1,0,1,2,0,0,1,
Engineering Sciences - Electrical and Computer Engineering (A.B.),Men,1,0,1,0,1,1,0,1,0,
Engineering Sciences - Electrical and Computer Engineering (A.B.),Women,1,0,1,0,0,0,0,0,1,
Engineering Sciences - Mechanical and Materials Science and Engineering (A.B.),Men,0,0,1,0,1,0,0,2,0,
Engineering Sciences - Mechanical and Materials Science and Engineering (A.B.),Women,1,1,0,0,0,0,0,2,2,
Environmental Science and Engineering (A.B.),Men,0,0,0,0,0,1,0,2,1,
Environmental Science and Engineering (A.B.),Women,0,0,1,0,2,0,0,4,0,
Mechanical Engineering (S.B.),Men,8,1,8,0,3,4,0,23,5,
Mechanical Engineering (S.B.),Women,4,1,2,0,4,1,0,5,1
