,Arts and Humanities,Arts and Humanities,Arts and Humanities,Arts and Humanities,Arts and Humanities,Arts and Humanities,Arts and Humanities,Arts and Humanities,Arts and Humanities,Arts and Humanities,Arts and Humanities,Arts and Humanities,Arts and Humanities,Arts and Humanities,Arts and Humanities,Arts and Humanities,Engineering and Applied Sciences,Engineering and Applied Sciences,Engineering and Applied Sciences,Engineering and Applied Sciences,Engineering and Applied Sciences,Engineering and Applied Sciences,Engineering and Applied Sciences,Science,Science,Science,Science,Science,Science,Science,Science,Science,Science,Science,Science,Science,Science,Social Science,Social Science,Social Science,Social Science,Social Science,Social Science,Social Science,Social Science,Social Science,Social Science,Social Science,Social Science,Special Concentrations
Year Awarded,Art Film and Visual Studies,Classics,Comparative Literature,English,Folklore and Mythology,Germanic Languages and Literatures,History and Literature,History of Art and Architecture,Linguistics,Music,Near Eastern Languages and Civilizations,Philosophy,Romance Languages and Literatures,Slavic Languages and Literatures,South Asian Studies,Theater Dance and Media,Applied Mathematics,Biomedical Engineering,Computer Science,Electrical Engineering,Engineering Sciences,Environmental Science and Engineering,Mechanical Engineering,Astronomy,Chemical and Physical Biology,Chemistry,Chemistry and Physics,Earth and Planetary Sciences,Environmental Science and Public Policy,Human Developmental and Regenerative Biology,Human Evolutionary Biology,Integrative Biology,Mathematics,Molecular and Cellular Biology,Neuroscience,Physics,Statistics,African and African American Studies,Anthropology,Comparative Study of Religion,East Asian Studies,Economics,Government,History,History and Science,Psychology,Social Studies,Sociology,Studies of Women Gender and Sexuality,Special Concentrations
2011,26,17,15,81,4,5,58,25,13,8,7,22,26,7,0,0,59,4,36,0,38,0,0,6,15,34,11,5,19,0,41,33,33,63,69,36,13,6,39,14,18,209,183,64,47,93,86,71,8,12
2012,28,18,9,67,5,2,46,22,10,13,2,28,18,4,0,0,49,11,36,0,49,0,0,14,16,21,16,10,9,41,38,36,46,58,85,35,14,7,34,9,14,213,180,65,43,88,85,60,10,9
2013,21,9,19,72,2,1,43,23,13,5,9,21,15,4,2,0,66,11,52,8,45,0,0,3,15,25,14,9,21,45,48,45,47,33,79,37,23,11,29,12,21,221,145,63,47,100,93,62,11,6
2014,28,12,13,50,8,1,50,20,12,6,10,24,15,3,4,0,65,17,89,6,40,0,14,8,14,32,18,7,13,42,58,40,41,28,78,23,36,10,15,8,23,190,202,63,38,89,98,52,14,7
2015,16,20,10,58,1,3,47,29,7,6,3,24,15,0,2,0,91,15,98,10,33,0,14,11,18,35,7,7,10,53,44,42,37,30,67,41,43,10,27,7,25,183,148,50,40,93,83,49,13,2
2016,13,12,8,58,4,4,37,23,12,13,8,11,6,1,1,0,91,17,104,12,37,3,8,8,5,20,13,10,12,64,28,55,30,25,81,33,61,4,25,4,11,218,135,66,29,100,78,53,6,1
2017,23,15,5,51,3,1,44,15,3,9,2,17,8,4,3,2,81,16,131,11,26,6,19,6,13,31,8,10,17,51,43,43,33,53,54,34,52,3,12,9,8,219,105,55,43,96,74,50,5,3
2018,28,9,11,58,5,2,54,11,5,5,2,25,4,0,0,5,86,16,154,7,27,7,18,9,16,33,15,6,19,48,29,32,39,61,57,44,61,3,20,10,8,237,113,45,34,83,60,34,6,3
2019,18,11,10,50,4,1,49,10,11,7,4,24,9,2,0,8,103,9,139,19,37,0,20,3,8,17,10,7,17,37,36,42,32,61,74,28,50,4,17,6,7,224,129,54,36,89,80,43,6,3
